TypeId: 16384 (#4000) UCAPI_DRIVER
TypeId: 16385 (#4001) UCAPI_CAMERA
TypeId: 16386 (#4002) UCAPI_CAMERA_SENSOR
IID: 16384 (#4000) ImageAcquisition
IID: 16385 (#4001) ImageSequenceAcquisition
IID: 16386 (#4002) AcquisitionInformation
IID: 16387 (#4003) ImageFormatInformation
IID: 16388 (#4004) OneShotWhiteBalance
IID: 16389 (#4005) WhiteShadingReferenceCreator
IID: 16390 (#4006) OneShotBlackBalance
IID: 16391 (#4007) PropertyDependencyInformation
Property ID: 16384 (#4000) PROP_SERIAL_NUMBER
Property ID: 16385 (#4001) PROP_FIRMWARE_HEAD_VERSION
Property ID: 16386 (#4002) PROP_VERSION_INFO
Property ID: 16387 (#4003) PROP_SENSOR_XRESOLUTION
Property ID: 16388 (#4004) PROP_SENSOR_YRESOLUTION
Property ID: 16389 (#4005) PROP_PHYSICAL_PIXEL_XSIZE
Property ID: 16390 (#4006) PROP_PHYSICAL_PIXEL_YSIZE
Property ID: 16391 (#4007) PROP_LOGICAL_XRESOLUTION
Property ID: 16392 (#4008) PROP_LOGICAL_YRESOLUTION
Property ID: 16393 (#4009) PROP_LOGICAL_CENTRE_XOFFSET
Property ID: 16394 (#400a) PROP_LOGICAL_CENTRE_YOFFSET
Property ID: 16395 (#400b) PROP_LOGICAL_PIXEL_XSIZE
Property ID: 16396 (#400c) PROP_LOGICAL_PIXEL_YSIZE
Property ID: 16397 (#400d) PROP_IMAGE_TRIGGER_MODE
Property ID: 16398 (#400e) PROP_TRIGGER_POLARITY
Property ID: 16399 (#400f) PROP_EXPOSURE_TIME
Property ID: 16400 (#4010) PROP_EMGAIN
Property ID: 16401 (#4011) PROP_GAIN
Property ID: 16402 (#4012) PROP_GAIN_RED
Property ID: 16403 (#4013) PROP_GAIN_GREEN
Property ID: 16404 (#4014) PROP_GAIN_BLUE
Property ID: 16405 (#4015) PROP_AUTO_BRIGHTNESS_ENABLED
Property ID: 16406 (#4016) PROP_AUTO_BRIGHTNESS_LEVEL
Property ID: 16407 (#4017) PROP_AUTO_BRIGHTNESS_ROI
Property ID: 16408 (#4018) PROP_AUTO_BRIGHTNESS_ROI_ENABLED
Property ID: 16409 (#4019) PROP_COLOUR_SATURATION
Property ID: 16410 (#401a) PROP_BINNING_LEVEL
Property ID: 16411 (#401b) PROP_BINNED_BRIGHTNESS_CORRECTION_ENABLED
Property ID: 16412 (#401c) PROP_READOUT_SPEED
Property ID: 16413 (#401d) PROP_PIXEL_DEPTH
Property ID: 16414 (#401e) PROP_PIXEL_TYPE
Property ID: 16415 (#401f) PROP_READOUT_REGION
Property ID: 16416 (#4020) PROP_READOUT_REGIONS
Property ID: 16417 (#4021) PROP_GAMMA_LEVEL
Property ID: 16418 (#4022) PROP_BLACK_LEVEL
